ID,Gender,Car,Property,Children,Income,Education,Family,HouseType,Birth,Workdays,WorkPhone,Phone,Email,Job,WorkMonths,Status,Risk
5113255,F,Y,Y,No children,247500.0,Secondary / secondary special,Single / not married,With parents,11770,285,0,0,0,Sales staff,2,paid off that month,0
5125882,F,Y,Y,2+ children,180000.0,Higher education,Civil marriage,House / apartment,11542,1169,0,0,1,Sales staff,2,paid off that month,0
5023150,M,N,Y,1 children,315000.0,Higher education,Married,House / apartment,11400,1513,0,0,0,Managers,16,paid off that month,0
5125310,M,N,Y,2+ children,157500.0,Secondary / secondary special,Married,House / apartment,14035,2875,0,0,0,Laborers,39,1-29 days past due,0
5048231,F,N,N,No children,90000.0,Secondary / secondary special,Separated,House / apartment,18764,9866,0,0,0,Laborers,25,paid off that month,0
5036906,F,N,Y,No children,112500.0,Secondary / secondary special,Married,House / apartment,18902,219,0,1,0,Laborers,27,1-29 days past due,0
5008875,F,N,Y,2+ children,126000.0,Higher education,Married,House / apartment,12411,1773,0,0,1,Managers,28,paid off that month,0
5053824,M,Y,Y,No children,180000.0,Incomplete higher,Single / not married,House / apartment,10789,1702,0,0,0,Laborers,12,1-29 days past due,0
5149383,M,Y,Y,1 children,360000.0,Higher education,Married,House / apartment,16537,410,0,1,1,Laborers,44,1-29 days past due,0
5117881,M,Y,N,No children,292500.0,Secondary / secondary special,Married,House / apartment,18484,461,0,1,0,Drivers,8,No loan for the month,0
5050758,M,N,N,No children,247500.0,Secondary / secondary special,Married,House / apartment,17974,1413,0,0,0,Drivers,20,paid off that month,0
5045929,M,N,N,No children,247500.0,Secondary / secondary special,Single / not married,House / apartment,15037,2208,0,0,0,Laborers,15,paid off that month,0
5117477,M,N,N,1 children,202500.0,Higher education,Married,House / apartment,13040,1223,1,0,0,Core staff,17,No loan for the month,0
5126667,F,N,Y,No children,351000.0,Secondary / secondary special,Single / not married,House / apartment,17435,4184,0,0,0,Medicine staff,22,1-29 days past due,0
5054774,M,N,Y,No children,225000.0,Secondary / secondary special,Married,House / apartment,21362,1520,0,0,0,Laborers,33,paid off that month,0
5029722,F,N,Y,1 children,135000.0,Higher education,Married,House / apartment,9778,2910,1,0,1,Core staff,21,paid off that month,0
5053553,M,Y,Y,1 children,193500.0,Secondary / secondary special,Married,House / apartment,10439,2250,1,0,0,Core staff,34,paid off that month,0
5142327,F,Y,N,2+ children,180000.0,Higher education,Married,House / apartment,12709,3193,0,0,0,Managers,27,paid off that month,0
5148426,F,N,Y,No children,135000.0,Secondary / secondary special,Civil marriage,House / apartment,16891,3332,1,1,0,Drivers,32,paid off that month,0
5038731,M,Y,Y,No children,184500.0,Higher education,Married,House / apartment,13916,169,0,0,0,Managers,1,paid off that month,0
5050815,M,N,N,No children,157500.0,Secondary / secondary special,Married,House / apartment,15496,2570,0,0,0,Laborers,15,paid off that month,0
5045679,F,N,Y,1 children,270000.0,Secondary / secondary special,Civil marriage,House / apartment,12721,5252,0,0,0,Medicine staff,48,1-29 days past due,0
5113125,F,N,Y,No children,112500.0,Higher education,Married,House / apartment,13836,3747,0,0,1,Core staff,0,No loan for the month,0
5096564,F,N,N,No children,54000.0,Higher education,Married,House / apartment,14923,4723,1,0,0,Medicine staff,31,1-29 days past due,0
5024991,F,N,Y,No children,360000.0,Secondary / secondary special,Widow,House / apartment,18190,11202,0,0,0,Core staff,49,paid off that month,0
5095241,F,N,N,2+ children,112500.0,Secondary / secondary special,Separated,House / apartment,14307,188,0,0,0,Laborers,6,1-29 days past due,0
5047840,M,Y,Y,No children,315000.0,Secondary / secondary special,Married,House / apartment,21871,979,0,0,0,Drivers,5,paid off that month,0
5056134,M,Y,Y,No children,202500.0,Incomplete higher,Married,House / apartment,17242,857,0,1,0,Security staff,26,paid off that month,0
